,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,ID,gr_engine_active,sm_active,sm_occupancy,dram_active,fp64_active,fp32_active,fp16_active,pcie_tx_bytes,pcie_rx_bytes,gpu_utilization,MCUTL,MUSAM,GUSAM,power_usage,TOTEC,run_time,application,sm_app_clock,fp_active,predicted_power_usage,n_run_time,predicted_n_run_time,energy,n_energy,predicted_n_energy
0,0,0,0,0.0,0.21212992,0.21403937,0.09545669,0.0037519685,0.0,0.088326775,0.0,1406044197.948819,1666731051.1692913,19.255905,0.8543307,0.0,18.429134,121.77098,2592.6488582677166,28.5,GROMACS,1410,0.0441633875,113.16369,0.9606741573033708,0.5550178,3470.47293,116.98223359550562,62.80786553879142
1,1,1,1,0.0,0.20413461,0.21536154,0.09700769,0.0036653846,0.0,0.08331539,0.0,1332656428.3884616,1602127832.5846157,18.423077,0.8423077,0.0,18.623077,118.896866,2574.8467,28.33333333333333,GROMACS,1395,0.041657695,108.10338,0.9550561797752807,0.56252575,3368.744536666666,113.55318662921346,60.81093482625961
2,2,2,2,0.0,0.19560078,0.19246511,0.08636046,0.003379845,0.0,0.08238372,0.0,1260954550.643411,1540083159.8875968,18.976744,0.81782943,0.0,18.755814,117.2164,2516.1236666666664,28.666666666666668,GROMACS,1380,0.04119186,105.3422,0.9662921348314607,0.56874716,3360.203466666667,113.26528539325842,59.91307737510205
3,3,3,3,0.0,0.20599222,0.20881712,0.093046695,0.0035914397,0.0,0.0848677,0.0,1306688963.159533,1577929026.1712062,19.081713,0.84435797,0.0,18.571985,112.4517,2435.1956731517507,28.0,GROMACS,1365,0.04243385,105.35697,0.9438202247191011,0.5727721,3148.6476000000002,106.13418876404495,60.34553144641936
4,4,4,4,0.0,0.2157197,0.22776516,0.10162121,0.003659091,0.0,0.0891553,0.0,1350533151.1136365,1649953353.9583333,19.424242,0.8598485,0.0,19.026516,112.89792,2431.838409090909,28.33333333333333,GROMACS,1350,0.04457765,106.114586,0.9550561797752807,0.57492423,3198.7743999999993,107.82385617977525,61.007846708894256
5,5,5,5,0.0,0.22001235,0.22088477,0.099144034,0.0037119342,0.0,0.09006173,0.0,1369926555.415638,1657494924.5679011,19.925926,0.8600823,0.0,19.662552,110.77709,2371.691164609053,28.0,GROMACS,1335,0.045030865,105.11797,0.9438202247191011,0.5806875,3101.75852,104.55365797752809,61.040693610334394
6,6,6,6,0.0,0.22321074,0.23184298,0.10385537,0.0037520663,0.0,0.094867766,0.0,1382742026.7190082,1664844198.0289257,20.07438,0.8719008,0.0,19.338842,108.64167,2324.5543181818184,28.33333333333333,GROMACS,1320,0.047433883,105.99154,0.9550561797752807,0.5837742,3078.18065,103.75889831460672,61.875127426579
7,7,7,7,0.0,0.21395367,0.2212471,0.09876448,0.0034671815,0.0,0.09290347,0.0,1318084598.6756756,1592112205.907336,20.277992,0.85328186,0.0,20.413128,106.40186,2320.224698841699,28.33333333333333,GROMACS,1305,0.046451735,102.70608,0.9550561797752807,0.59015054,3014.7193666666662,101.61975393258425,60.612048070707324
8,8,8,8,0.0,0.2159112,0.21256757,0.09690733,0.0035482626,0.0,0.09196139,0.0,1304429889.6911197,1577428014.023166,19.393822,0.8378378,0.0,18.942085,104.757,2275.7985405405407,28.0,GROMACS,1290,0.045980695,100.70661,0.9438202247191011,0.59407693,2933.196,98.87177528089887,59.827473848209976
9,9,9,9,0.0,0.2235955,0.2287528,0.10248689,0.0035917603,0.0,0.097,0.0,1350991602.7265918,1616501811.0561798,20.138577,0.8689138,0.0,19.666666,103.04177,2222.077082397004,28.0,GROMACS,1275,0.0485,101.53458,0.9438202247191011,0.59403265,2885.16956,97.25290651685393,60.31485513926268
10,10,10,10,0.0,0.21224031,0.22015892,0.09833334,0.0035736435,0.0,0.09081395,0.0,1253920507.9534883,1520718032.7713175,19.627907,0.8604651,0.0,19.697674,100.76403,2218.615186046512,28.33333333333333,GROMACS,1260,0.045406975,98.18405,0.9550561797752807,0.6010288,2854.9808499999995,96.23530955056178,59.01144175168872
11,11,11,11,0.0,0.22724809,0.23032443,0.103148855,0.0035877863,0.0,0.09522519,0.0,1324344100.8931298,1620583730.5152671,20.721375,0.8549618,0.0,20.683207,99.081924,2192.1137404580154,28.666666666666668,GROMACS,1245,0.047612595,98.95268,0.9662921348314607,0.60160017,2840.348488,95.74208386516854,59.529949123363494
12,12,12,12,0.0,0.23378462,0.25050768,0.11303461,0.0037076925,0.0,0.09836923,0.0,1351590399.280769,1660652295.3423078,20.707693,0.8769231,0.0,21.33846,97.97816,2156.32545,28.33333333333333,GROMACS,1230,0.049184615,98.45218,0.9550561797752807,0.60312784,2776.0478666666663,93.57464719101122,59.379250389163495
13,13,13,13,0.0,0.22536364,0.25086743,0.11307197,0.0035757576,0.0,0.09476515,0.0,1300764409.659091,1579668416.121212,20.375,0.8484849,0.0,20.844696,96.04134,2139.309272727273,28.33333333333333,GROMACS,1215,0.047382575,93.20626,0.9550561797752807,0.6089175,2721.1712999999995,91.72487528089886,56.754920469784736
14,14,14,14,0.0,0.2315316,0.2444461,0.11059108,0.003739777,0.0,0.096669145,0.0,1315286417.4832714,1606308151.494424,21.003717,0.8698885,0.0,21.033457,96.319405,2107.34792936803,28.33333333333333,GROMACS,1200,0.0483345725,90.926506,0.9550561797752807,0.6118767,2729.0498083333327,91.99044297752808,55.63581281158495
15,15,15,15,0.0,0.23991418,0.24051492,0.10835075,0.0036007464,0.0,0.10169403,0.0,1352340152.891791,1644900079.402985,21.25,0.8619403,0.0,21.910448,94.12948,2092.617537313433,28.33333333333333,GROMACS,1185,0.050847015,90.361206,0.9550561797752807,0.6160964,2667.001933333333,89.89894157303368,55.67121167163205
16,16,16,16,0.0,0.2506694,0.25937143,0.116216324,0.0038367347,0.0,0.107016325,0.0,1388088597.9510205,1691808803.8612244,21.702042,0.8734694,0.0,21.995918,94.01424,2069.630285714285,28.33333333333333,GROMACS,1170,0.0535081625,90.98916,0.9550561797752807,0.61983657,2663.7367999999997,89.78888089887639,56.398408735342024
17,17,17,17,0.0,0.24723347,0.24094552,0.10771596,0.0036420235,0.0,0.10607393,0.0,1357042402.229572,1627266145.723735,22.210117,0.83657587,0.0,21.731518,91.99156,2037.521303501945,28.0,GROMACS,1155,0.053036965,89.645065,0.9438202247191011,0.62484723,2575.76368,86.82349483146068,56.014470843839945
18,18,18,18,0.0,0.23047794,0.23397794,0.10465441,0.0035036765,0.0,0.09815809,0.0,1257564871.1176472,1502334902.0404413,21.654411,0.8419118,0.0,21.536764,90.3735,2005.3835625,28.0,GROMACS,1140,0.049079045,86.68081,0.9438202247191011,0.6329358,2530.458,85.29633707865169,54.86338972984612
19,19,19,19,0.0,0.23904075,0.23457778,0.10561481,0.0035851852,0.0,0.10651111,0.0,1275448835.5703704,1579563784.6666667,21.22963,0.837037,0.0,21.244444,88.31136,1996.242055555556,28.0,GROMACS,1125,0.053255555,88.578926,0.9438202247191011,0.631184,2472.7180799999996,83.35004764044943,55.90959922470212
20,20,20,20,0.0,0.24217537,0.23620896,0.105485074,0.0035559703,0.0,0.10587686,0.0,1291596639.8507462,1546852369.7873137,22.27985,0.8358209,0.0,22.205223,87.765335,1958.078671641791,27.666666666666668,GROMACS,1110,0.05293843,87.78132,0.9325842696629214,0.6340126,2428.174268333333,81.84857084269663,55.654461161799425
21,21,21,21,0.0,0.25146744,0.26152107,0.116931036,0.00356705,0.0,0.10662835,0.0,1310445794.2260537,1633239300.2030652,22.850574,0.85823756,0.0,22.758621,89.15303,2016.578245210728,29.0,GROMACS,1095,0.053314175,87.44776,0.9775280898876404,0.63539255,2585.43787,87.1495911235955,55.56365492556572
22,22,22,22,0.0,0.24708582,0.2570261,0.11568283,0.0036455225,0.0,0.104235075,0.0,1270232611.5783582,1573869920.6828358,23.059702,0.8544776,0.0,22.697762,87.20995,2001.5464776119404,28.666666666666668,GROMACS,1080,0.0521175375,86.391655,0.9662921348314607,0.63873446,2500.018566666667,84.27028876404495,55.18132709430635
23,23,23,23,0.0,0.26277292,0.26313946,0.118864544,0.0037011954,0.0,0.112083666,0.0,1342533230.6374502,1613576016.8645418,23.298805,0.8844622,0.0,23.071712,88.17172,1989.3119880478089,28.666666666666668,GROMACS,1065,0.056041833,88.147606,0.9662921348314607,0.64161795,2527.5893066666667,85.1996395505618,56.557086592088815
24,24,24,24,0.0,0.2546464,0.26588973,0.119140685,0.003498099,0.0,0.10836882,0.0,1287791223.2205324,1576926419.5323193,22.642586,0.8403042,0.0,22.623573,87.238754,1973.354410646388,28.33333333333333,GROMACS,1050,0.05418441,86.45962,0.9550561797752807,0.65090203,2471.764696666666,83.3179111235955,56.27674241762638
25,25,25,25,0.0,0.25730574,0.26874462,0.119870506,0.0034892086,0.0,0.109208636,0.0,1286041299.9856114,1559045879.586331,22.111511,0.823741,0.0,22.503597,86.656364,1975.7049604316549,28.666666666666668,GROMACS,1035,0.054604318,86.2523,0.9662921348314607,0.6591917,2484.1491013333334,83.73536296629213,56.85680264977217
26,26,26,26,0.0,0.26310506,0.26720235,0.12102724,0.0035875486,0.0,0.1146537,0.0,1286535349.7937744,1576383076.723735,23.599222,0.8599222,0.0,24.128405,87.21,1977.269186770428,28.666666666666668,GROMACS,1020,0.05732685,87.34011,0.9662921348314607,0.6649557,2500.02,84.27033707865168,58.07730185219943
27,27,27,27,0.0,0.2733015,0.279813,0.12749237,0.0035458016,0.0,0.11987786,0.0,1334668840.2519083,1585869454.591603,24.541985,0.86259544,0.0,24.675573,86.74254,1914.3253511450384,28.0,GROMACS,1005,0.05993893,88.12493,0.9438202247191011,0.67084265,2428.7911200000003,81.86936359550562,59.11796135657788
28,28,28,28,0.0,0.26755285,0.2684553,0.12164228,0.0036178862,0.0,0.11821138,0.0,1279399684.3577237,1546462257.7642276,23.837399,0.86178863,0.0,23.939024,86.480515,1944.166,28.33333333333333,GROMACS,990,0.05910569,87.406075,0.9550561797752807,0.67960644,2450.281258333333,82.59375028089886,59.401731262612344
29,29,29,29,0.0,0.2768373,0.28108335,0.12569444,0.0037500001,0.0,0.119424604,0.0,1303085758.801587,1590986768.5198412,25.392857,0.8611111,0.0,24.837301,87.898254,1956.1820515873007,28.666666666666668,GROMACS,975,0.059712302,87.49752,0.9662921348314607,0.688076,2519.749948,84.93539150561797,60.20494525909423
30,30,30,30,0.0,0.28150204,0.2685592,0.12094286,0.003567347,0.0,0.12460408,0.0,1304553571.02449,1606419240.9387755,24.061224,0.844898,0.0,24.94694,87.06473,1963.5688897959185,28.666666666666668,GROMACS,960,0.06230204,88.084435,0.9662921348314607,0.69467306,2495.855593333333,84.12996382022472,61.18988412057161
31,31,31,31,0.0,0.28669566,0.291166,0.13195257,0.0036482215,0.0,0.12443873,0.0,1317455880.0118575,1580162085.1225295,25.114624,0.8577075,0.0,25.501976,86.78712,1923.793719367589,28.33333333333333,GROMACS,945,0.062219365,87.75436,0.9550561797752807,0.7041042,2458.9683999999997,82.88657528089885,61.78821213715554
32,32,32,32,0.0,0.28074318,0.27994165,0.12534241,0.0036303503,0.0,0.124276266,0.0,1271387599.2996109,1547156936.634241,25.334631,0.84435797,0.0,25.5214,86.07858,1952.653342412452,28.666666666666668,GROMACS,930,0.062138133,87.34428,0.9662921348314607,0.71426797,2467.5859600000003,83.17705483146068,62.38722149085045
33,33,33,33,0.0,0.29121688,0.3064498,0.13830121,0.0035301205,0.0,0.12712851,0.0,1305498640.0321286,1574451670.9558232,26.522089,0.87148595,0.0,26.269075,86.265854,1925.98148995984,28.666666666666668,GROMACS,915,0.063564255,87.64782,0.9662921348314607,0.72319686,2472.9544813333337,83.35801622471911,63.386628571665284
34,34,34,34,0.0,0.28487265,0.30034083,0.13447191,0.0033895131,0.0,0.124292135,0.0,1255784747.3033707,1539086313.977528,25.749063,0.88014984,0.0,26.524345,84.38252,1920.8824307116104,28.666666666666668,GROMACS,900,0.0621460675,86.75817,0.9662921348314607,0.73296535,2418.9655733333334,81.53816539325842,63.59073245251537
35,35,35,35,0.0,0.29880163,0.29561943,0.13241701,0.003708502,0.0,0.13104454,0.0,1293624151.9068823,1554673342.45749,25.307692,0.8380567,0.0,25.506073,85.18897,1938.1408623481784,28.666666666666668,GROMACS,885,0.06552227,88.46248,0.9662921348314607,0.73903537,2442.0838066666665,82.31743168539326,65.37690145795823
36,36,36,36,0.0,0.31391305,0.30995652,0.14050592,0.0037667984,0.0,0.13823715,0.0,1356452330.9802372,1645867787.4703555,27.0,0.8695652,0.0,26.897234,85.91709,1930.0045889328064,29.0,GROMACS,870,0.069118575,90.135,0.9775280898876404,0.74660945,2491.59561,83.9863688764045,67.29564272046089
37,37,37,37,0.0,0.30526087,0.29504347,0.13290909,0.0035415022,0.0,0.13756917,0.0,1296552577.2964427,1566967276.9525692,27.450592,0.8458498,0.0,27.177866,85.10133,1936.9800750988145,29.0,GROMACS,855,0.068784585,89.37139,0.9775280898876404,0.7570095,2467.9385700000003,83.18894056179775,67.65499181459427
38,38,38,38,0.0,0.30158064,0.31614515,0.14215726,0.0035887097,0.0,0.13447984,0.0,1253631577.0362904,1510863893.1814516,28.629032,0.8991935,0.0,29.75,84.33023,1905.4831532258063,28.33333333333333,GROMACS,840,0.06723992,88.10615,0.9550561797752807,0.76768297,2389.3565166666663,80.54010730337077,67.63759086939395
39,39,39,39,0.0,0.33069876,0.3275523,0.14706276,0.003794979,0.0,0.14833473,0.0,1347000606.422594,1613734319.4351463,28.669456,0.88284516,0.0,29.096233,84.80709,1918.7544560669453,29.0,GROMACS,825,0.074167365,90.83406,0.9775280898876404,0.77476287,2459.4056100000003,82.9013126966292,70.37485691772937
40,40,40,40,0.0,0.33494356,0.35138306,0.15693548,0.0037620969,0.0,0.15193951,0.0,1354437456.9274194,1646155718.689516,29.741936,0.86290324,0.0,29.431452,85.511,1900.5660241935484,28.666666666666668,GROMACS,810,0.075969755,90.80681,0.9662921348314607,0.78437483,2451.3153333333335,82.62860674157304,71.22657643872857
41,41,41,41,0.0,0.33275795,0.364,0.16232143,0.003654762,0.0,0.15078968,0.0,1328482872.452381,1586339916.0992064,29.805555,0.8730159,0.0,30.817461,85.04835,1910.112,29.0,GROMACS,795,0.07539484,89.66977,0.9775280898876404,0.79638076,2466.40215,83.1371511235955,71.41127942788839
42,42,42,42,0.0,0.34194186,0.36332947,0.1624186,0.003515504,0.0,0.15443799,0.0,1320856516.5271318,1555746808.5775194,30.910852,0.8604651,0.0,31.348837,85.05489,1928.11634496124,29.33333333333333,GROMACS,780,0.077218995,89.64864,0.98876404494382,0.80737036,2494.9434399999996,84.09921707865166,72.37965516860962
43,43,43,43,0.0,0.34073308,0.34579325,0.15803759,0.0036015038,0.0,0.15192482,0.0,1294348915.8721805,1564889326.018797,30.590225,0.85714287,0.0,31.176691,83.57527,1886.5310187969924,28.666666666666668,GROMACS,765,0.07596241,88.650536,0.9662921348314607,0.8190912,2395.824406666667,80.75812606741573,72.6128739863348
44,44,44,44,0.0,0.35540637,0.35813946,0.16262949,0.0036892432,0.0,0.16123506,0.0,1319507541.2908366,1623491724.1075697,30.800797,0.8565737,0.0,30.824701,83.901344,1883.302015936255,28.666666666666668,GROMACS,750,0.08061753,90.220055,0.9662921348314607,0.8274512,2405.1718613333333,81.07320880898877,74.65269539880991
45,45,45,45,0.0,0.353076,0.369908,0.165424,0.003592,0.0,0.154832,0.0,1300123241.64,1551411164.096,29.592,0.82,0.0,29.816,83.01483,1864.387312,28.666666666666668,GROMACS,735,0.077416,88.190674,0.9662921348314607,0.8381374,2379.75846,80.2165773033708,73.91590117254782
46,46,46,46,0.0,0.35396934,0.36836398,0.1646705,0.0035363985,0.0,0.16027969,0.0,1269568053.3984675,1547161595.4482758,30.992336,0.82758623,0.0,32.29502,81.950325,1872.9155632183908,29.0,GROMACS,720,0.080139845,88.77024,0.9775280898876404,0.84842175,2376.5594250000004,80.10874466292135,75.31460258646011
47,47,47,47,0.0,0.36989242,0.38356176,0.17431474,0.0037011954,0.0,0.16624303,0.0,1313302185.6653388,1614257634.8167331,31.76494,0.8366534,0.0,31.804781,82.39845,1867.5662350597609,28.666666666666668,GROMACS,705,0.083121515,89.78982,0.9662921348314607,0.8587427,2362.0889,79.62097415730337,77.10635370992661
48,48,48,48,0.0,0.3590846,0.37644616,0.17005384,0.0036346156,0.0,0.16566154,0.0,1265351468.5807693,1522060620.8692307,31.6,0.8423077,0.0,32.076923,82.77114,1874.5564615384608,29.0,GROMACS,690,0.08283077,89.13947,0.9775280898876404,0.8701245,2400.36306,80.91111438202248,77.56243844619334
49,49,49,49,0.0,0.3971423,0.4070751,0.18288933,0.0036561266,0.0,0.17646246,0.0,1339831798.7944665,1632411983.916996,33.675888,0.8577075,0.0,34.869564,82.9433,1873.236849802372,29.0,GROMACS,675,0.08823123,91.28027,0.9775280898876404,0.88241893,2405.3556999999996,81.07940561797751,80.54743823193968
50,50,50,50,0.0,0.38382128,0.4055171,0.18341064,0.0035551332,0.0,0.17369962,0.0,1260762790.714829,1545307258.730038,33.741444,0.85551333,0.0,34.441063,82.86107,1887.2063574144488,29.666666666666668,GROMACS,660,0.08684981,90.43387,1.0,0.89489543,2458.2117433333333,82.86107,80.92885737627626
51,51,51,51,0.0,0.41917813,0.42778137,0.19125101,0.003805668,0.0,0.18997976,0.0,1370204723.2064776,1659964446.2388663,35.63158,0.87449396,0.0,35.8583,84.38842,1856.1482064777329,28.666666666666668,GROMACS,645,0.09498988,94.24316,0.9662921348314607,0.9067395,2419.1347066666667,81.54386651685392,85.45399326457024
52,52,52,52,0.0,0.40074903,0.4150157,0.18783921,0.003509804,0.0,0.18157254,0.0,1275620994.580392,1574180962.1686275,34.807842,0.83137256,0.0,36.109802,82.48959,1855.196180392157,29.0,GROMACS,630,0.09078627,91.85107,0.9775280898876404,0.91829795,2392.1981100000003,80.63589134831462,84.34664896051945
53,53,53,53,0.0,0.42936575,0.4549494,0.20623346,0.003762646,0.0,0.1939533,0.0,1312001724.7821012,1605326683.3540857,35.618675,0.73540854,0.0,36.132298,81.03098,1846.624486381323,29.0,GROMACS,615,0.09697665,95.36781,0.9775280898876404,0.92906725,2349.89842,79.21005910112359,88.60310936303259
54,54,54,54,0.0,0.43832558,0.45017442,0.20246899,0.0036860467,0.0,0.19722094,0.0,1321703198.1511629,1589559795.1162791,38.07752,0.82945734,0.0,38.751938,82.10518,1868.5342674418605,29.33333333333333,GROMACS,600,0.09861047,96.12095,0.98876404494382,0.9400722,2408.4186133333333,81.18264988764044,90.36063089873194
55,55,55,55,0.0,0.4419026,0.4481573,0.20409738,0.003681648,0.0,0.20081648,0.0,1309585125.7790265,1576957826.1460674,38.08989,0.7940075,0.0,38.565544,82.75049,1864.9304082397005,29.33333333333333,GROMACS,585,0.10040824,96.87454,0.98876404494382,0.95101804,2427.3477066666665,81.82070921348313,92.12943471222519
56,56,56,56,0.0,0.45310485,0.48014516,0.2155242,0.0037540323,0.0,0.21145162,0.0,1324354785.3225806,1622633990.7258065,39.35887,0.8104839,0.0,39.967743,82.9356,1852.5369233870967,29.0,GROMACS,570,0.10572581,98.9735,0.9775280898876404,0.9620012,2405.1324,81.07187865168538,95.2126262126565
57,57,57,57,0.0,0.46572113,0.4996494,0.22409561,0.003737052,0.0,0.21445419,0.0,1322614650.9163346,1623789332.438247,40.199203,0.7968128,0.0,41.776894,82.4612,1857.5925378486056,29.33333333333333,GROMACS,555,0.107227095,98.857216,0.98876404494382,0.9722159,2418.8618666666666,81.53466966292133,96.1105563237915
58,58,58,58,0.0,0.46942168,0.463506,0.20780723,0.0036987953,0.0,0.2162008,0.0,1315678921.8915665,1641881702.7751005,39.71486,0.8433735,0.0,41.51004,82.20854,1844.4992128514057,29.0,GROMACS,540,0.1081004,98.478294,0.9775280898876404,0.98185325,2384.04766,80.36115707865169,96.69123269227839
59,59,59,59,0.0,0.47592136,0.4883783,0.22141199,0.0036516855,0.0,0.22140823,0.0,1305005231.0861423,1564584010.131086,41.05618,0.8164794,0.0,41.0412,82.58212,1830.94368164794,29.0,GROMACS,525,0.110704115,98.22064,0.9775280898876404,0.9914279,2394.88148,80.72634202247191,97.3786826953888
60,60,60,60,0.0,0.47592136,0.4883783,0.22141199,0.0036516855,0.0,0.22140823,0.0,1305005231.0861423,1564584010.131086,41.05618,0.8164794,0.0,41.0412,82.58212,1830.94368164794,29.0,GROMACS,510,0.110704115,97.583244,0.9775280898876404,1.0002536,2394.88148,80.72634202247191,97.60798702768564
